Date,County,FIPS,Confirmed,Deaths
3/1/2020,New York City,0500000US36061,1,0
3/2/2020,New York City,0500000US36061,1,0
3/3/2020,New York City,0500000US36061,2,0
3/4/2020,New York City,0500000US36061,2,0
3/4/2020,Westchester,0500000US36119,9,0
3/5/2020,Nassau,0500000US36059,1,0
3/5/2020,New York City,0500000US36061,4,0
3/5/2020,Westchester,0500000US36119,17,0
3/6/2020,Nassau,0500000US36059,4,0
3/6/2020,New York City,0500000US36061,5,0
3/6/2020,Rockland,0500000US36087,2,0
3/6/2020,Westchester,0500000US36119,33,0
3/7/2020,Nassau,0500000US36059,4,0
3/7/2020,New York City,0500000US36061,12,0
3/7/2020,Rockland,0500000US36087,2,0
3/7/2020,Saratoga,0500000US36091,2,0
3/7/2020,Westchester,0500000US36119,69,0
3/8/2020,Nassau,0500000US36059,5,0
3/8/2020,New York City,0500000US36061,14,0
3/8/2020,Rockland,0500000US36087,2,0
3/8/2020,Saratoga,0500000US36091,2,0
3/8/2020,Suffolk,0500000US36103,1,0
3/8/2020,Ulster,0500000US36111,1,0
3/8/2020,Westchester,0500000US36119,81,0
3/9/2020,Nassau,0500000US36059,17,0
3/9/2020,New York City,0500000US36061,20,0
3/9/2020,Rockland,0500000US36087,4,0
3/9/2020,Saratoga,0500000US36091,2,0
3/9/2020,Suffolk,0500000US36103,1,0
3/9/2020,Ulster,0500000US36111,1,0
3/9/2020,Westchester,0500000US36119,97,0
3/10/2020,Nassau,0500000US36059,19,0
3/10/2020,New York City,0500000US36061,37,0
3/10/2020,Rockland,0500000US36087,6,0
3/10/2020,Saratoga,0500000US36091,2,0
3/10/2020,Suffolk,0500000US36103,1,0
3/10/2020,Ulster,0500000US36111,1,0
3/10/2020,Westchester,0500000US36119,107,0
3/11/2020,Monroe,0500000US36055,1,0
3/11/2020,Nassau,0500000US36059,28,0
3/11/2020,New York City,0500000US36061,52,0
3/11/2020,Rockland,0500000US36087,6,0
3/11/2020,Saratoga,0500000US36091,2,0
3/11/2020,Suffolk,0500000US36103,6,0
3/11/2020,Ulster,0500000US36111,2,0
3/11/2020,Westchester,0500000US36119,120,0
3/12/2020,Albany,0500000US36001,2,0
3/12/2020,Delaware,0500000US36025,1,0
3/12/2020,Dutchess,0500000US36027,1,0
3/12/2020,Herkimer,0500000US36043,1,0
3/12/2020,Monroe,0500000US36055,1,0
3/12/2020,Nassau,0500000US36059,41,0
3/12/2020,New York City,0500000US36061,96,0
3/12/2020,Orange,0500000US36071,1,0
3/12/2020,Rockland,0500000US36087,7,0
3/12/2020,Saratoga,0500000US36091,3,0
3/12/2020,Suffolk,0500000US36103,21,0
3/12/2020,Ulster,0500000US36111,4,0
3/12/2020,Westchester,0500000US36119,147,0
3/13/2020,Albany,0500000US36001,2,0
3/13/2020,Delaware,0500000US36025,1,0
3/13/2020,Dutchess,0500000US36027,3,0
3/13/2020,Herkimer,0500000US36043,1,0
3/13/2020,Monroe,0500000US36055,1,0
3/13/2020,Nassau,0500000US36059,51,0
3/13/2020,New York City,0500000US36061,155,0
3/13/2020,Orange,0500000US36071,3,0
3/13/2020,Rockland,0500000US36087,9,0
3/13/2020,Saratoga,0500000US36091,3,0
3/13/2020,Schenectady,0500000US36093,1,0
3/13/2020,Suffolk,0500000US36103,29,0
3/13/2020,Ulster,0500000US36111,5,0
3/13/2020,Westchester,0500000US36119,157,0
3/14/2020,Albany,0500000US36001,5,0
3/14/2020,Broome,0500000US36007,1,0
3/14/2020,Delaware,0500000US36025,1,0
3/14/2020,Dutchess,0500000US36027,4,0
3/14/2020,Herkimer,0500000US36043,1,0
3/14/2020,Monroe,0500000US36055,2,0
3/14/2020,Nassau,0500000US36059,79,0
3/14/2020,New York City,0500000US36061,269,1
3/14/2020,Orange,0500000US36071,6,0
3/14/2020,Rockland,0500000US36087,12,1
3/14/2020,Saratoga,0500000US36091,3,0
