,date,positive,negative,neutral,pRatio
0,2020-04-07,1363.0,1819.0,1133.0,0.44716106604866745
1,2020-04-08,703.0,975.0,507.0,0.4377574370709382
2,2020-04-09,949.0,1243.0,759.0,0.45018637749915286
3,2020-04-10,901.0,1086.0,655.0,0.4649886449659349
4,2020-04-11,1134.0,1571.0,890.0,0.439221140472879
5,2020-04-12,1032.0,1474.0,810.0,0.4333534378769602
6,2020-04-13,1331.0,1594.0,881.0,0.46544929059379925
7,2020-04-14,1308.0,1730.0,930.0,0.44682459677419356
8,2020-04-15,1318.0,1784.0,997.0,0.4431568675286655
9,2020-04-16,1315.0,1713.0,1023.0,0.45087632683288076
10,2020-04-17,1311.0,1597.0,917.0,0.46261437908496733
11,2020-04-18,1199.0,1607.0,891.0,0.44482012442520963
12,2020-04-19,1177.0,1644.0,838.0,0.43618474993167533
13,2020-04-20,1205.0,1558.0,847.0,0.45110803324099724
14,2020-04-21,1186.0,1577.0,889.0,0.44646768893756844
15,2020-04-22,1154.0,1554.0,792.0,0.44285714285714284
