,Date,0500000US36001,0500000US36003,0500000US36005,0500000US36007,0500000US36009,0500000US36011,0500000US36013,0500000US36015,0500000US36017,0500000US36019,0500000US36021,0500000US36023,0500000US36025,0500000US36027,0500000US36029,0500000US36031,0500000US36033,0500000US36035,0500000US36037,0500000US36039,0500000US36041,0500000US36043,0500000US36045,0500000US36047,0500000US36049,0500000US36051,0500000US36053,0500000US36055,0500000US36057,0500000US36059,0500000US36061,0500000US36063,0500000US36065,0500000US36067,0500000US36069,0500000US36071,0500000US36073,0500000US36075,0500000US36077,0500000US36079,0500000US36081,0500000US36083,0500000US36085,0500000US36087,0500000US36089,0500000US36091,0500000US36093,0500000US36095,0500000US36097,0500000US36099,0500000US36101,0500000US36103,0500000US36105,0500000US36107,0500000US36109,0500000US36111,0500000US36113,0500000US36115,0500000US36117,0500000US36119,0500000US36121,0500000US36123
0,2020-04-07,23,1,0,7,1,1,4,3,0,1,0,1,0,14,112,0,0,2,3,1,0,0,1,614,0,2,164,52,1,122,1,9,9,36,2,22,0,5,0,5,318,8,46,12,1,20,18,2,0,2,1,0,3,8,9,10,5,0,0,0,0,0
1,2020-04-08,2,0,0,5,0,3,1,0,0,3,1,0,0,12,54,2,0,0,0,0,0,1,0,301,0,0,110,37,0,50,0,9,5,19,2,11,0,1,1,2,161,8,21,9,3,2,11,0,0,0,0,0,0,1,2,6,5,0,0,0,0,0
2,2020-04-09,22,1,0,3,1,1,2,3,0,5,0,0,0,13,65,1,0,0,0,0,0,4,2,393,0,0,114,38,0,73,0,8,7,14,2,28,0,0,0,2,223,11,32,8,1,13,10,0,0,1,0,0,0,0,4,20,0,1,1,0,1,0
3,2020-04-10,15,0,0,3,0,0,3,2,0,3,3,1,0,12,72,0,0,1,0,1,0,1,0,344,0,1,140,24,1,46,0,8,12,20,0,10,0,4,1,4,185,13,30,15,0,7,8,0,0,0,1,0,1,0,8,10,5,0,1,0,0,0
4,2020-04-11,18,0,0,4,1,1,3,2,0,9,1,0,0,8,90,0,0,0,2,1,0,0,0,429,0,0,145,35,1,100,0,9,8,28,2,13,0,4,0,7,316,18,45,8,0,16,18,0,0,0,1,0,0,0,6,5,2,0,0,0,0,0
5,2020-04-12,20,0,0,5,2,1,2,3,1,10,2,0,1,5,95,0,0,0,1,0,0,0,2,456,0,1,173,43,0,68,0,7,4,20,5,8,0,3,1,3,290,21,34,13,2,15,8,0,0,0,1,0,2,1,5,5,0,0,0,0,0,0
6,2020-04-13,26,0,0,8,0,1,2,3,0,0,0,1,1,9,112,1,0,1,1,0,0,0,3,545,0,0,177,58,0,104,0,11,10,30,3,22,0,2,0,5,272,5,45,5,0,11,7,0,0,1,1,0,0,1,9,9,4,0,0,0,0,1
7,2020-04-14,32,0,1,6,5,0,2,1,0,2,1,1,1,19,90,2,0,1,2,2,0,0,0,536,0,0,153,42,0,82,0,9,10,28,3,24,0,1,1,6,281,10,43,16,1,19,13,0,0,0,0,0,0,1,5,56,3,0,0,0,2,1
8,2020-04-15,34,0,0,5,2,1,3,2,0,7,0,3,0,9,117,0,0,1,1,0,0,3,0,536,0,1,171,34,3,103,0,8,7,51,0,17,0,3,0,4,301,13,42,15,1,21,8,0,0,0,2,0,0,2,10,14,5,0,0,0,1,0
9,2020-04-16,30,1,0,7,0,0,6,0,0,4,3,2,1,22,92,1,0,3,0,2,0,5,0,517,0,1,182,65,1,96,0,14,11,44,1,17,0,1,1,3,263,16,51,7,3,19,10,0,0,0,0,0,1,0,11,50,5,0,3,0,3,0
10,2020-04-17,22,1,0,11,0,2,6,4,0,4,1,3,0,16,105,0,0,2,3,1,0,3,3,452,0,1,187,36,0,91,0,23,14,51,1,5,0,4,0,4,286,14,52,16,1,13,6,1,0,2,3,0,0,0,6,7,5,2,0,0,3,1
11,2020-04-18,27,1,0,9,3,1,3,7,0,10,0,5,0,13,133,0,0,0,2,0,0,1,1,487,1,0,160,43,2,86,0,19,11,23,5,11,2,2,1,6,250,14,39,14,2,20,30,0,0,1,0,0,2,0,6,23,3,1,3,0,0,1
12,2020-04-19,11,0,0,7,5,1,2,2,1,2,0,0,1,17,90,0,0,0,2,0,0,3,0,447,1,3,164,60,1,111,0,9,17,24,3,8,0,1,0,6,247,2,45,9,2,9,15,1,0,2,1,0,0,1,4,6,4,0,1,0,0,0
13,2020-04-20,22,0,0,4,1,0,3,4,0,5,1,1,1,16,119,1,0,2,1,0,0,0,0,478,0,0,156,48,0,99,0,9,16,33,4,9,0,2,0,13,268,8,35,7,0,13,10,2,0,1,1,0,1,2,4,42,4,0,3,0,2,0
14,2020-04-21,47,0,0,9,0,3,4,6,0,1,0,1,0,6,88,1,0,0,2,0,0,3,0,508,0,0,141,40,0,118,0,11,16,30,3,17,0,2,0,8,227,13,33,10,0,18,8,0,0,3,0,0,1,0,10,6,3,0,1,0,0,0
15,2020-04-22,12,0,0,2,0,1,2,0,0,3,0,0,0,9,34,1,0,1,0,0,0,1,2,264,0,1,87,22,0,58,0,4,5,7,2,10,0,3,0,3,132,1,19,9,0,4,5,0,0,0,1,0,0,1,6,3,2,0,0,0,0,0
